,Company,Product,Inches,Cpu,Ram,Weight,Price_euros
0,Apple,MacBook Pro,13.3,Intel Core i5 2.3GHz,8GB,1.37kg,1339.69
1,Apple,Macbook Air,13.3,Intel Core i5 1.8GHz,8GB,1.34kg,898.94
2,HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.86kg,575.0
3,Apple,MacBook Pro,15.4,Intel Core i7 2.7GHz,16GB,1.83kg,2537.45
4,Apple,MacBook Pro,13.3,Intel Core i5 3.1GHz,8GB,1.37kg,1803.6
5,Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,400.0
6,Apple,MacBook Pro,15.4,Intel Core i7 2.2GHz,16GB,2.04kg,2139.97
7,Apple,Macbook Air,13.3,Intel Core i5 1.8GHz,8GB,1.34kg,1158.7
8,Asus,ZenBook UX430UN,14.0,Intel Core i7 8550U 1.8GHz,16GB,1.3kg,1495.0
9,Acer,Swift 3,14.0,Intel Core i5 8250U 1.6GHz,8GB,1.6kg,770.0
10,HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.86kg,393.9
11,HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,344.99
12,Apple,MacBook Pro,15.4,Intel Core i7 2.8GHz,16GB,1.83kg,2439.97
13,Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,498.9
14,Apple,"MacBook 12""",12.0,Intel Core M m3 1.2GHz,8GB,0.92kg,1262.4
15,Apple,MacBook Pro,13.3,Intel Core i5 2.3GHz,8GB,1.37kg,1518.55
16,Dell,Inspiron 3567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,745.0
17,Apple,MacBook Pro,15.4,Intel Core i7 2.9GHz,16GB,1.83kg,2858.0
18,Lenovo,IdeaPad 320-15IKB,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.2kg,499.0
19,Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.22kg,979.0
20,Asus,Vivobook E200HA,11.6,Intel Atom x5-Z8350 1.44GHz,2GB,0.98kg,191.9
21,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.5kg,999.0
22,HP,255 G6,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,1.86kg,258.0
23,Dell,Inspiron 5379,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.62kg,819.0
24,HP,15-BS101nv ,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.91kg,659.0
25,Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.3kg,418.64
26,Apple,MacBook Air,13.3,Intel Core i5 1.6GHz,8GB,1.35kg,1099.0
27,Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,800.0
28,Dell,Latitude 5590,15.6,Intel Core i7 8650U 1.9GHz,8GB,1.88kg,1298.0
29,HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,896.0
30,Chuwi,"LapBook 15.6""",15.6,Intel Atom x5-Z8300 1.44GHz,4GB,1.89kg,244.99
31,Asus,E402WA-GA010T ,14.0,AMD E-Series E2-6110 1.5GHz,2GB,1.65kg,199.0
32,HP,17-ak001nv ,17.3,AMD A6-Series 9220 2.5GHz,4GB,2.71kg,439.0
33,Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.2kg,1869.0
34,Apple,MacBook Air,13.3,Intel Core i5 1.6GHz,8GB,1.35kg,998.0
35,Lenovo,IdeaPad 120S-14IAP,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.44kg,249.0
36,Acer,Aspire 3,15.6,Intel Core i3 7130U 2.7GHz,4GB,2.1kg,367.0
37,Dell,Inspiron 5770,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.8kg,979.0
38,HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.86kg,488.69
39,HP,ProBook 450,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.1kg,879.0
40,Asus,X540UA-DM186 ,15.6,Intel Core i3 6006U 2GHz,4GB,2kg,389.0
41,Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.65kg,1499.0
42,Asus,X542UQ-GO005 ,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.3kg,522.99
43,Acer,Aspire A515-51G,15.6,Intel Core i5 8250U 1.6GHz,4GB,2.2kg,682.0
44,Dell,Inspiron 7773,17.3,Intel Core i5 8250U 1.6GHz,12GB,2.77kg,999.0
45,Apple,MacBook Pro,13.3,Intel Core i5 2.0GHz,8GB,1.37kg,1419.0
46,Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,369.0
47,Asus,Rog Strix,17.3,AMD Ryzen 1700 3GHz,8GB,3.2kg,1299.0
48,Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.3kg,639.0
49,Asus,X751NV-TY001T ,17.3,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.8kg,466.0
50,Lenovo,Yoga Book,10.1,Intel Atom x5-Z8550 1.44GHz,4GB,0.69kg,319.0
51,Acer,Aspire A515-51G,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,841.0
52,HP,255 G6,15.6,AMD A6-Series 9220 2.5GHz,4GB,1.86kg,398.49
53,HP,ProBook 430,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.49kg,1103.0
54,Acer,Aspire 3,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.4kg,384.0
55,Dell,Inspiron 3576,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.13kg,767.8
56,HP,15-bs002nv ,15.6,Intel Core i3 6006U 2GHz,4GB,1.91kg,439.0
57,Asus,VivoBook Max,15.6,Intel Core i5 7200U 2.5GHz,4GB,2kg,586.19
58,MSI,GS73VR 7RG,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.43kg,2449.0
